task_id,task_name,stage_name,planned_start,planned_finish,actual_start,progress,status,priority,effort_hours,assignee,workload,dependencies_count,requirement_changes,blockers
1,Сбор требований,Аналитика,2026-04-01,2026-04-07,2026-04-01,100,done,high,24,Иванов,60,1,2,0
2,Проектирование БД,Проектирование,2026-04-08,2026-04-14,2026-04-09,80,in_progress,high,20,Петров,75,2,1,0
3,Разработка backend,Разработка,2026-04-15,2026-04-25,2026-04-15,45,in_progress,critical,60,Сидоров,92,4,2,1
4,Разработка frontend,Разработка,2026-04-15,2026-04-24,2026-04-16,50,in_progress,high,52,Кузнецов,88,3,1,0
5,Интеграция API,Интеграция,2026-04-26,2026-04-30,2026-04-26,20,in_progress,critical,30,Орлов,90,5,3,1
6,Тестирование,Тестирование,2026-05-01,2026-05-06,2026-05-01,15,in_progress,medium,28,Смирнова,70,2,0,0
7,Исправление дефектов,Тестирование,2026-05-07,2026-05-12,2026-05-07,10,in_progress,high,35,Егоров,85,3,2,1
8,Подготовка релиза,Релиз,2026-05-13,2026-05-15,2026-05-13,5,in_progress,critical,16,Федоров,80,2,1,0
9,Оптимизация производительности,Разработка,2026-03-10,2026-03-18,2026-03-10,0,in_progress,critical,40,Алексеев,98,5,5,1
10,Обновление документации,Поддержка,2026-04-10,2026-04-18,2026-04-10,65,in_progress,medium,12,Морозова,40,1,0,0
11,Настройка CI/CD,DevOps,2026-03-20,2026-03-28,2026-03-20,15,in_progress,high,30,Ковалев,90,4,3,1
12,Подготовка инфраструктуры,DevOps,2026-03-18,2026-03-25,2026-03-18,30,in_progress,high,40,Лебедев,85,3,2,0
